שם ישוב,אמת,ב,ג,ד,ום,ט,כן,ל,מחל,מרצ,עם,פה,שס,umap_x,umap_y,tsne_x,tsne_y,1,2,3,4,cluster,סמל ישוב,מצביעים,כשרים,פסולים
אלעד,0.05,0.22,35.03,0.0,0.0,11.27,0.15,0.04,3.37,0.02,0.01,0.1,49.74,12.701152,1.3571349,27.517752,-12.83242,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:49.74,יהדות התורה והשבת אגודת ישראל - דגל התורה:35.03,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:11.27,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:3.37,4,1309,19737,19637,100
אלעזר,0.17,13.33,0.75,0.0,0.0,53.98,4.78,0.92,22.63,0.34,0.0,1.17,1.93,11.633736,-3.578467,44.705925,-9.592211,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:53.98,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:22.63,הבית היהודי בראשות איילת שקד:13.33,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:4.78,2,3618,1203,1201,2
אלפי מנשה,2.91,1.52,0.76,0.0,0.05,11.38,14.34,3.19,31.36,0.95,0.02,30.99,2.54,14.9471035,5.713295,1.1031069,-5.321605,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:31.36,יש עתיד בראשות יאיר לפיד לראשות הממשלה:30.99,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:14.34,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:11.38,11,3750,4423,4402,21
אלקנה,0.27,18.2,0.58,0.0,0.0,52.76,3.63,0.58,19.54,0.0,0.09,1.97,2.38,11.802018,-3.5399888,44.44819,-10.772941,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:52.76,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:19.54,הבית היהודי בראשות איילת שקד:18.2,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:3.63,2,3560,2255,2251,4
אמונים,4.49,1.37,0.98,0.0,0.2,8.59,18.36,0.78,31.84,1.37,0.0,18.36,13.67,15.237848,4.1969705,9.634781,-4.2519064,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:31.84,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:18.36,יש עתיד בראשות יאיר לפיד לראשות הממשלה:18.36,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:13.67,11,772,528,526,2
אמירים,10.14,1.74,1.45,0.0,2.32,15.07,8.7,1.45,8.41,14.78,0.0,35.07,0.87,14.923739,9.468957,-13.063465,-11.6021185,יש עתיד בראשות יאיר לפיד לראשות הממשלה:35.07,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:15.07,מרצ השמאל של ישראל בראשות זהבה גלאון:14.78,מפלגת העבודה בראשות מרב מיכאלי:10.14,6,1064,381,380,1
אספר,0.0,2.87,41.38,0.0,0.0,38.51,0.29,0.0,2.59,0.0,0.0,0.0,14.37,12.752144,1.3257716,28.387135,-14.259549,יהדות התורה והשבת אגודת ישראל - דגל התורה:41.38,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:38.51,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:14.37,הבית היהודי בראשות איילת שקד:2.87,4,3754,352,350,2
אעבלין,1.09,0.11,0.07,18.13,48.81,0.21,0.11,0.2,2.38,2.95,24.34,1.46,0.14,-4.893476,6.709255,2.071373,34.82763,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:48.81",הרשימה הערבית המאוחדת:24.34,"בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:18.13",מרצ השמאל של ישראל בראשות זהבה גלאון:2.95,10,529,5716,5672,44
אעצם שבט,0.15,0.0,0.1,0.73,15.2,0.0,0.05,0.05,0.97,0.24,82.32,0.05,0.15,-2.6379702,5.0339384,10.54272,45.54604,הרשימה הערבית המאוחדת:82.32,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:15.2",הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:0.97,"בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:0.73",5,963,2116,2089,27
אפיקים,32.27,0.72,0.14,0.0,0.14,2.17,12.16,2.75,5.35,7.53,0.14,36.03,0.58,11.309414,12.441362,-39.42983,-7.6083894,יש עתיד בראשות יאיר לפיד לראשות הממשלה:36.03,מפלגת העבודה בראשות מרב מיכאלי:32.27,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:12.16,מרצ השמאל של ישראל בראשות זהבה גלאון:7.53,6,176,707,705,2
אפק,16.06,0.24,0.24,0.0,0.0,2.68,18.0,0.97,7.06,7.06,0.0,46.96,0.73,14.702662,13.011571,-28.474512,4.0372458,יש עתיד בראשות יאיר לפיד לראשות הממשלה:46.96,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:18.0,מפלגת העבודה בראשות מרב מיכאלי:16.06,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:7.06,1,313,418,416,2
אפרת,0.7,15.72,0.76,0.02,0.02,48.91,6.99,1.14,20.17,0.28,0.07,3.06,2.16,11.964612,-3.3425522,43.30071,-10.363592,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:48.91,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:20.17,הבית היהודי בראשות איילת שקד:15.72,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:6.99,2,3650,5798,5783,15
ארבל,6.56,0.27,0.27,0.0,0.0,16.12,21.58,1.09,32.51,2.46,0.0,17.76,1.37,15.592979,4.489191,8.074328,-6.7471166,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:32.51,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:21.58,יש עתיד בראשות יאיר לפיד לראשות הממשלה:17.76,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:16.12,11,701,370,369,1
ארז,14.38,0.32,0.0,0.0,0.0,5.11,23.96,2.24,5.11,10.54,0.0,38.34,0.0,14.0827265,11.35325,-26.832455,-4.6674323,יש עתיד בראשות יאיר לפיד לראשות הממשלה:38.34,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:23.96,מפלגת העבודה בראשות מרב מיכאלי:14.38,מרצ השמאל של ישראל בראשות זהבה גלאון:10.54,1,714,322,321,1
אריאל,0.74,1.83,0.49,0.03,0.07,19.29,6.16,14.44,41.62,0.47,0.07,12.77,2.03,14.8602915,2.5774193,15.030049,-0.51235044,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:41.62,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:19.29,ישראל ביתנו בראשות אביגדור ליברמן:14.44,יש עתיד בראשות יאיר לפיד לראשות הממשלה:12.77,3,3570,9516,9420,96
אשבול,1.78,1.19,2.08,0.0,0.0,17.21,13.95,0.89,37.39,1.78,0.0,13.35,10.39,15.627451,2.5364711,17.181564,-4.719538,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:37.39,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:17.21,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:13.95,יש עתיד בראשות יאיר לפיד לראשות הממשלה:13.35,11,71,338,338,0
אשדוד,0.91,0.45,13.62,0.02,0.02,9.11,6.69,10.53,29.3,0.47,0.03,12.95,15.9,13.88461,1.9677292,24.245104,-9.504999,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:29.3,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:15.9,יהדות התורה והשבת אגודת ישראל - דגל התורה:13.62,יש עתיד בראשות יאיר לפיד לראשות הממשלה:12.95,11,70,117047,116294,753
אשדות יעקב איחוד,17.74,0.43,0.0,0.0,0.0,4.27,18.16,2.56,12.39,6.2,0.0,38.25,0.0,13.148926,11.408529,-29.932192,-5.390277,יש עתיד בראשות יאיר לפיד לראשות הממשלה:38.25,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:18.16,מפלגת העבודה בראשות מרב מיכאלי:17.74,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:12.39,1,199,477,476,1
אשדות יעקב מאוחד,18.07,0.0,0.0,0.0,0.0,7.63,22.9,2.8,13.99,5.09,0.0,29.01,0.51,14.027666,10.393022,-22.908934,-9.752021,יש עתיד בראשות יאיר לפיד לראשות הממשלה:29.01,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:22.9,מפלגת העבודה בראשות מרב מיכאלי:18.07,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:13.99,9,188,404,403,1
אשחר,15.13,6.3,0.84,0.0,0.0,8.61,24.58,2.52,11.55,5.67,0.0,23.95,0.84,13.899028,10.28922,-23.93008,-9.445965,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:24.58,יש עתיד בראשות יאיר לפיד לראשות הממשלה:23.95,מפלגת העבודה בראשות מרב מיכאלי:15.13,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:11.55,9,1188,490,489,1
אשקלון,1.22,0.66,1.09,0.03,0.03,13.49,7.35,10.75,40.35,0.62,0.04,12.42,11.95,14.579695,2.4596353,15.463375,0.69289047,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:40.35,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:13.49,יש עתיד בראשות יאיר לפיד לראשות הממשלה:12.42,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:11.95,3,7100,74187,73602,585
אשרת,3.29,1.8,0.9,0.0,0.0,14.37,12.28,1.8,43.71,1.5,0.0,16.17,4.19,15.3803,2.5007281,18.058487,-2.1824825,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:43.71,יש עתיד בראשות יאיר לפיד לראשות הממשלה:16.17,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:14.37,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:12.28,11,1256,342,341,1
אשתאול,3.56,1.19,2.37,0.0,0.17,17.12,5.93,1.53,40.51,3.9,0.0,8.98,14.75,14.596465,1.8355975,23.058084,-1.0755216,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:40.51,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:17.12,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:14.75,יש עתיד בראשות יאיר לפיד לראשות הממשלה:8.98,3,740,599,598,1
באקה אלגרביה,0.21,0.0,0.01,50.97,22.55,0.08,1.5,0.0,0.41,1.24,22.72,0.25,0.06,-3.9601014,7.626528,-2.1520107,40.111004,"בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:50.97",הרשימה הערבית המאוחדת:22.72,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:22.55",המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:1.5,0,6000,9815,9671,144
באר אורה,5.39,0.62,0.0,0.21,0.21,5.39,13.9,4.36,34.23,4.15,0.21,29.25,2.07,14.863723,5.545403,2.276986,-5.5925274,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:34.23,יש עתיד בראשות יאיר לפיד לראשות הממשלה:29.25,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:13.9,מפלגת העבודה בראשות מרב מיכאלי:5.39,11,21,495,494,1
באר גנים,0.52,3.63,1.56,0.0,0.0,33.33,6.13,0.93,36.34,0.0,0.0,3.32,14.23,13.768225,-0.28512862,32.67718,-3.0049217,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:36.34,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:33.33,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:14.23,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:6.13,3,1376,975,974,1
באר טוביה,7.74,0.3,0.15,0.0,0.15,4.1,24.28,2.73,10.62,6.98,0.0,41.43,1.52,15.150387,11.21136,-21.512777,-1.3162327,יש עתיד בראשות יאיר לפיד לראשות הממשלה:41.43,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:24.28,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:10.62,מפלגת העבודה בראשות מרב מיכאלי:7.74,1,155,673,672,1
באר יעקב,2.19,0.53,1.0,0.04,0.01,12.35,13.24,2.97,35.8,1.03,0.04,21.85,8.96,15.003885,3.858831,11.341884,-5.121637,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:35.8,יש עתיד בראשות יאיר לפיד לראשות הממשלה:21.85,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:13.24,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:12.35,11,2530,14109,14056,53
באר שבע,1.91,0.75,1.47,0.18,0.34,15.94,7.62,8.1,41.0,0.98,0.33,12.25,9.13,14.701399,2.3730848,16.196066,0.67344576,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:41.0,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:15.94,יש עתיד בראשות יאיר לפיד לראשות הממשלה:12.25,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:9.13,3,9000,101002,100204,798
בארותיים,9.54,1.24,0.53,0.0,0.0,4.59,15.72,3.0,12.54,5.65,0.0,46.64,0.53,15.482465,12.43152,-20.96651,5.5229893,יש עתיד בראשות יאיר לפיד לראשות הממשלה:46.64,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:15.72,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:12.54,מפלגת העבודה בראשות מרב מיכאלי:9.54,1,697,585,583,2
בארי,35.69,0.15,0.15,0.0,0.62,1.23,12.77,0.62,2.92,16.77,0.0,29.08,0.0,11.452797,12.544499,-39.819004,-9.075517,מפלגת העבודה בראשות מרב מיכאלי:35.69,יש עתיד בראשות יאיר לפיד לראשות הממשלה:29.08,מרצ השמאל של ישראל בראשות זהבה גלאון:16.77,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:12.77,6,399,663,661,2
בוסתן הגליל,5.43,0.72,0.54,0.0,0.0,9.78,16.12,1.63,26.45,2.9,0.0,30.98,5.43,15.502371,6.703046,-2.2617357,-6.557414,יש עתיד בראשות יאיר לפיד לראשות הממשלה:30.98,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:26.45,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:16.12,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:9.78,9,559,563,562,1
בועיינהנוגידאת,0.59,0.0,0.0,24.26,14.87,0.05,0.05,0.0,1.69,0.59,56.06,1.13,0.72,-3.3601856,6.0361624,5.1522956,42.50695,הרשימה הערבית המאוחדת:56.06,"בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:24.26","חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:14.87",הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:1.69,0,482,4000,3924,76
בורגתה,4.83,0.33,0.33,0.0,0.0,5.32,23.13,1.83,20.97,4.66,0.17,36.27,2.16,15.293881,7.909969,-7.74817,-9.040169,יש עתיד בראשות יאיר לפיד לראשות הממשלה:36.27,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:23.13,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:20.97,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:5.32,9,698,617,617,0
בחן,12.32,1.01,0.0,0.2,0.2,2.22,14.14,2.83,10.91,7.27,0.0,48.69,0.2,15.213729,13.230439,-25.711594,7.5855603,יש עתיד בראשות יאיר לפיד לראשות הממשלה:48.69,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:14.14,מפלגת העבודה בראשות מרב מיכאלי:12.32,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:10.91,1,2043,501,501,0
בטחה,0.59,0.39,0.98,0.0,0.0,17.77,6.25,0.0,51.17,0.2,0.0,1.76,20.9,14.087081,0.614689,28.72915,2.561386,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:51.17,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:20.9,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:17.77,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:6.25,3,762,515,515,0
ביצרון,7.63,0.47,0.78,0.0,0.16,3.89,19.63,2.18,11.99,4.67,0.16,47.98,0.47,15.674809,12.391029,-20.99255,2.9220836,יש עתיד בראשות יאיר לפיד לראשות הממשלה:47.98,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:19.63,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:11.99,מפלגת העבודה בראשות מרב מיכאלי:7.63,1,234,653,653,0
