שם ישוב,אמת,ב,ג,ד,ום,ט,כן,ל,מחל,מרצ,עם,פה,שס,umap_x,umap_y,tsne_x,tsne_y,1,2,3,4,cluster,סמל ישוב,מצביעים,כשרים,פסולים
שדה דוד,1.4,0.0,1.4,0.0,0.0,12.61,9.24,1.96,46.78,0.0,0.28,9.52,16.81,14.739687,1.5512224,23.51488,0.23945594,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:46.78,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:16.81,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:12.61,יש עתיד בראשות יאיר לפיד לראשות הממשלה:9.52,3,36,365,361,4
שדה ורבורג,10.03,0.14,0.14,0.0,0.55,1.37,12.5,3.16,8.24,13.32,0.0,50.27,0.27,15.300113,13.734345,-28.177147,10.246117,יש עתיד בראשות יאיר לפיד לראשות הממשלה:50.27,מרצ השמאל של ישראל בראשות זהבה גלאון:13.32,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:12.5,מפלגת העבודה בראשות מרב מיכאלי:10.03,1,284,737,733,4
שדה יעקב,1.74,11.43,0.39,0.0,0.0,36.24,12.79,0.58,24.61,1.55,0.19,9.11,1.36,12.774167,-2.2380695,38.908165,-9.93883,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:36.24,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:24.61,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:12.79,הבית היהודי בראשות איילת שקד:11.43,2,142,524,522,2
שדה יצחק,7.65,0.61,0.0,0.0,0.92,7.95,16.82,0.31,23.85,5.81,0.0,34.56,1.53,15.700074,7.738438,-6.4244356,-6.3916564,יש עתיד בראשות יאיר לפיד לראשות הממשלה:34.56,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:23.85,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:16.82,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:7.95,9,2008,334,332,2
שדה משה,8.28,0.96,0.32,0.0,0.0,9.24,19.11,1.59,25.8,1.59,0.0,30.57,2.55,15.432476,6.9499736,-3.8113031,-8.088688,יש עתיד בראשות יאיר לפיד לראשות הממשלה:30.57,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:25.8,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:19.11,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:9.24,9,18,323,322,1
שדה נחום,7.57,0.61,0.2,0.0,0.2,8.18,17.59,1.84,27.2,4.09,0.2,30.88,1.43,15.437984,6.7998505,-3.0810776,-7.6548824,יש עתיד בראשות יאיר לפיד לראשות הממשלה:30.88,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:27.2,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:17.59,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:8.18,9,259,501,497,4
שדה נחמיה,12.27,0.54,0.18,0.0,0.0,7.04,20.58,1.08,18.05,5.23,0.18,33.57,1.26,14.55765,9.9436,-20.210821,-9.442021,יש עתיד בראשות יאיר לפיד לראשות הממשלה:33.57,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:20.58,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:18.05,מפלגת העבודה בראשות מרב מיכאלי:12.27,9,329,573,572,1
שדה עוזיהו,0.83,0.36,2.37,0.0,0.0,15.3,6.52,0.12,54.8,0.0,0.0,2.97,16.73,14.673266,0.76338947,26.649488,3.0107877,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:54.8,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:16.73,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:15.3,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:6.52,3,739,851,849,2
שדה צבי,5.79,1.22,0.91,0.0,0.0,13.11,11.59,0.3,40.55,1.52,0.0,12.2,12.8,15.275272,2.241778,16.697565,-3.2823212,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:40.55,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:13.11,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:12.8,יש עתיד בראשות יאיר לפיד לראשות הממשלה:12.2,3,2049,337,337,0
שדות ים,12.76,0.34,1.53,0.0,0.51,1.7,17.35,2.04,6.46,9.52,0.0,46.77,1.02,14.740045,13.227944,-27.799816,5.203386,יש עתיד בראשות יאיר לפיד לראשות הממשלה:46.77,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:17.35,מפלגת העבודה בראשות מרב מיכאלי:12.76,מרצ השמאל של ישראל בראשות זהבה גלאון:9.52,1,327,603,602,1
